,station_id,station_na,lat,lon,neighborhood_id,FSA_code,da_id,cluster
277,7502,University Ave / College St (East),43.65995,-79.38964,76,M5G,35204617.0,7
278,7496,Sunnyside Ave / The Queensway - SMART,43.6397,-79.44865,87,M6R,35201468.0,21
279,7420,Barton St / Howland St - SMART,43.66842,-79.410585,95,M5R,35201062.0,35
280,7510,Princes Gate / Nunavut Dr,43.633499,-79.414126,82,M5V,35204873.0,28
281,7055,Jarvis St / Carlton St,43.66207,-79.37617,73,M5A,35202840.0,2
282,7071,161 Bleecker St (South of Wellesley),43.666233,-79.373327,71,M4X,35200771.0,3
283,7065,Dundas St E / Parliament St,43.659575,-79.365769,72,M5A,35200801.0,3
284,7286,Gerrard St E / Broadview - SMART,43.665656,-79.352055,68,M4M,35203807.0,1
285,7134,Marlborough Ave / Yonge St,43.68,-79.391111,95,M5R,35202812.0,9
286,7154,Bathurst Subway Station,43.6666667,-79.41166667,95,M5R,35201061.0,35
287,7063,Queen's Park / Bloor St W,43.668456,-79.393899,76,M5S,35204603.0,5
288,7299,Mill St / Parliament St,43.650256,-79.36163,77,M5A,35203175.0,14
289,7389,College Park- Gerrard Entrance,43.658938,-79.383518,76,M5G,35204606.0,7
290,7332,200 Bloor St. E.,43.671561,-79.38117,98,M4W,35202823.0,5
291,7274,Queen's Park Cres E / Grosvenor St - SMART,43.661803,-79.389682,76,M5S,35204901.0,5
292,7132,Kendal Ave / Spadina Rd,43.670318,-79.405181,95,M5R,35201052.0,8
293,7381,Roehampton Ave / Yonge St,43.708156,-79.39861,104,M4P,35202666.0,22
294,7051,Wellesley St E / Yonge St (Green P),43.665115,-79.384562,75,M4Y,35204623.0,0
295,7042,Sherbourne St / Wellesley St E,43.6673,-79.374,74,M4X,35204566.0,0
296,7167,Queen St E / George St (Moss Park),43.6544444,-79.37111111,73,M5A,35204245.0,2
297,7024,Dundonald St / Church St,43.66663,-79.38148,75,M4Y,35204623.0,0
298,7279,Rosehill Ave / Avoca Ave - SMART,43.687999,-79.38906,98,M4T,35204506.0,9
299,7126,Yonge St / Yorkville Ave,43.671944,-79.387778,95,M5R,35202818.0,0
300,7127,Bay St / Davenport Rd,43.673263,-79.390655,95,M5R,35202817.0,9
301,7014,Sherbourne St / Carlton St (Allan Gardens),43.663102,-79.373181,73,M5A,35202840.0,3
302,7113,Parliament St / Aberdeen Ave,43.665278,-79.368333,71,M5A,35200797.0,3
303,7108,Front St E / Cherry St,43.652686,-79.358395,77,M5A,35203175.0,14
304,7312,Amelia St. / Sumach St.,43.66852,-79.363525,71,M4X,35200792.0,3
305,7109,Seaton St / Dundas St E - SMART,43.658777,-79.369596,73,M5A,35202847.0,3
306,7093,Danforth Ave / Gough Ave,43.678401,-79.346289,68,M4K,35200710.0,12
307,7280,Charles St E / Jarvis St - SMART,43.669604,-79.381171,75,M4Y,35204579.0,0
